Date,Size_Class,Count
08-Mar-20,LARGE,24
09-Mar-20,MEDIUM,8
09-Mar-20,SMALL,9
09-Mar-20,LARGE,19
10-Mar-20,MEDIUM,13
10-Mar-20,LARGE,14
10-Mar-20,SMALL,14
11-Mar-20,MEDIUM,15
11-Mar-20,SMALL,15
11-Mar-20,LARGE,26
12-Mar-20,MEDIUM,12
12-Mar-20,LARGE,16
12-Mar-20,SMALL,18
13-Mar-20,MEDIUM,13
13-Mar-20,SMALL,13
13-Mar-20,LARGE,17
14-Mar-20,SMALL,14
14-Mar-20,MEDIUM,17
14-Mar-20,LARGE,19
15-Mar-20,MEDIUM,12
15-Mar-20,SMALL,14
15-Mar-20,LARGE,20
16-Mar-20,MEDIUM,12
16-Mar-20,LARGE,15
16-Mar-20,SMALL,16
17-Mar-20,LARGE,16
17-Mar-20,MEDIUM,16
17-Mar-20,SMALL,16
18-Mar-20,SMALL,16
18-Mar-20,MEDIUM,18
18-Mar-20,LARGE,24
19-Mar-20,MEDIUM,11
19-Mar-20,LARGE,13
19-Mar-20,SMALL,19
20-Mar-20,MEDIUM,9
20-Mar-20,SMALL,11
20-Mar-20,LARGE,22
21-Mar-20,MEDIUM,8
21-Mar-20,SMALL,16
21-Mar-20,LARGE,17
22-Mar-20,SMALL,10
22-Mar-20,MEDIUM,12
22-Mar-20,LARGE,17
23-Mar-20,MEDIUM,9
23-Mar-20,SMALL,10
23-Mar-20,LARGE,16
24-Mar-20,SMALL,15
24-Mar-20,LARGE,19
24-Mar-20,MEDIUM,19
25-Mar-20,SMALL,11
25-Mar-20,MEDIUM,15
25-Mar-20,LARGE,18
26-Mar-20,SMALL,9
26-Mar-20,MEDIUM,13
26-Mar-20,LARGE,19
27-Mar-20,SMALL,10
27-Mar-20,LARGE,13
27-Mar-20,MEDIUM,17
28-Mar-20,SMALL,12
28-Mar-20,MEDIUM,16
28-Mar-20,LARGE,20
29-Mar-20,MEDIUM,11
29-Mar-20,SMALL,11
29-Mar-20,LARGE,24
30-Mar-20,MEDIUM,13
30-Mar-20,SMALL,17
30-Mar-20,LARGE,20
31-Mar-20,SMALL,14
31-Mar-20,LARGE,15
31-Mar-20,MEDIUM,24
01-Apr-20,SMALL,12
01-Apr-20,MEDIUM,13
01-Apr-20,LARGE,20
02-Apr-20,SMALL,7
02-Apr-20,LARGE,17
02-Apr-20,MEDIUM,18
03-Apr-20,SMALL,4
03-Apr-20,MEDIUM,6
03-Apr-20,LARGE,16
04-Apr-20,SMALL,7
04-Apr-20,MEDIUM,8
04-Apr-20,LARGE,11
05-Apr-20,SMALL,10
05-Apr-20,MEDIUM,15
05-Apr-20,LARGE,18
06-Apr-20,SMALL,10
06-Apr-20,MEDIUM,17
06-Apr-20,LARGE,19
07-Apr-20,SMALL,10
07-Apr-20,MEDIUM,13
07-Apr-20,LARGE,15
08-Apr-20,SMALL,9
08-Apr-20,MEDIUM,12
08-Apr-20,LARGE,16
09-Apr-20,MEDIUM,12
09-Apr-20,SMALL,13
09-Apr-20,LARGE,17
10-Apr-20,SMALL,13
10-Apr-20,MEDIUM,17
10-Apr-20,LARGE,21
11-Apr-20,SMALL,12
11-Apr-20,MEDIUM,17
11-Apr-20,LARGE,19
12-Apr-20,SMALL,9
12-Apr-20,MEDIUM,11
12-Apr-20,LARGE,26
13-Apr-20,MEDIUM,12
13-Apr-20,LARGE,15
13-Apr-20,SMALL,15
14-Apr-20,SMALL,13
14-Apr-20,MEDIUM,18
14-Apr-20,LARGE,19
15-Apr-20,SMALL,8
15-Apr-20,MEDIUM,12
15-Apr-20,LARGE,19
16-Apr-20,SMALL,10
16-Apr-20,MEDIUM,15
16-Apr-20,LARGE,18
17-Apr-20,SMALL,9
17-Apr-20,MEDIUM,13
17-Apr-20,LARGE,18
18-Apr-20,SMALL,10
18-Apr-20,LARGE,13
18-Apr-20,MEDIUM,17
19-Apr-20,SMALL,10
19-Apr-20,MEDIUM,13
19-Apr-20,LARGE,20
20-Apr-20,MEDIUM,13
20-Apr-20,SMALL,14
20-Apr-20,LARGE,16
21-Apr-20,SMALL,9
21-Apr-20,MEDIUM,11
21-Apr-20,LARGE,19
22-Apr-20,SMALL,6
22-Apr-20,MEDIUM,7
22-Apr-20,LARGE,13
23-Apr-20,SMALL,5
23-Apr-20,MEDIUM,14
23-Apr-20,LARGE,21
24-Apr-20,SMALL,8
24-Apr-20,MEDIUM,11
24-Apr-20,LARGE,12
25-Apr-20,SMALL,8
25-Apr-20,MEDIUM,13
25-Apr-20,LARGE,18
26-Apr-20,SMALL,6
26-Apr-20,LARGE,9
26-Apr-20,MEDIUM,10
27-Apr-20,SMALL,9
27-Apr-20,MEDIUM,13
27-Apr-20,LARGE,20
28-Apr-20,SMALL,7
28-Apr-20,LARGE,16
28-Apr-20,MEDIUM,16
29-Apr-20,SMALL,11
29-Apr-20,LARGE,16
29-Apr-20,MEDIUM,19
30-Apr-20,MEDIUM,7
30-Apr-20,LARGE,13
30-Apr-20,SMALL,13
01-May-20,SMALL,7
01-May-20,MEDIUM,13
01-May-20,LARGE,24
02-May-20,MEDIUM,12
02-May-20,SMALL,12
02-May-20,LARGE,17
03-May-20,MEDIUM,7
03-May-20,SMALL,10
03-May-20,LARGE,15
04-May-20,MEDIUM,8
04-May-20,SMALL,10
04-May-20,LARGE,19
05-May-20,SMALL,11
05-May-20,LARGE,12
05-May-20,MEDIUM,12
06-May-20,SMALL,11
06-May-20,MEDIUM,14
06-May-20,LARGE,18
07-May-20,MEDIUM,13
07-May-20,SMALL,13
07-May-20,LARGE,15
08-May-20,SMALL,8
08-May-20,MEDIUM,11
08-May-20,LARGE,29
09-May-20,SMALL,6
09-May-20,MEDIUM,14
09-May-20,LARGE,17
10-May-20,MEDIUM,11
10-May-20,SMALL,12
10-May-20,LARGE,19
11-May-20,SMALL,14
11-May-20,LARGE,18
11-May-20,MEDIUM,21
12-May-20,SMALL,9
12-May-20,MEDIUM,15
12-May-20,LARGE,24
13-May-20,SMALL,10
13-May-20,LARGE,12
13-May-20,MEDIUM,15
14-May-20,MEDIUM,9
14-May-20,SMALL,9
